recipient,name,transactions_90D,transactions_180D,active_addresses_90D,active_addresses_180D,farcaster_users_90D,farcaster_users_180D,daily_active_addresses_90D,daily_active_addresses_180D,uuid_list,application_id_list
0x0000000000000000000000000000000000000000,Mintify,140.0,4800.0,127,1165,34,279,1,8,['4673d610-235f-45c6-ab81-4c113b93a63b'],['0xe1f22df3fbef95845558d185b4167c465bd5e54e523b72d9a27fdc988d88cab5']
0x0000000000000000000000000000000000000000,Owlto Finance,1375490.0,1730310.0,66739,84702,16510,19738,7222,4566,"['13b449e9-24cc-4ee8-839a-fd84fd002ed4', '6c2180d4-5a2c-452e-8136-3a3474877815', '9f3e6766-c51b-45c6-846c-34dc5857f1da', '9f9e8469-5d39-45a0-976c-f5fcd083e4f2', 'a73e00af-cb02-49dd-a018-44e7993e0cb4', 'b3ef6751-295e-4acf-8d46-c756fd7cd9fc', 'd8e904ce-e845-4ea5-9765-f866acbff492', 'ea860fc5-1a57-4712-a4ab-7c8d15ccef79', 'f0a5ff91-b4e9-46a6-807f-d84b3ce7b7b1']","['0x8c724e0da2faa05665be48ccc05d1f814742d93e8f287d8d90271d049c44606f', '0x64641995c0ee76b4fd0b88a0aff299e16d392de80a1c0413a046364c2284ac26', '0xf6bb2207614e30a2e7d64a29ae4839d48cd2246c5f937084965b87ab598c76aa', '0x212e47f63626cbf4cb4a8a86f33238c2fbbbaa733063d0a1a6921a83c4bd2dfe', '0x2e41c5666476ff6a215a9f0c1e80f275d8cc6a138e10805bfeffd5973a3f7ff0', '0xd4e02ab18d73ea3c3def87b73a0eba1697ca64e4828c49b455e09e79a01bfae6', '0x6f9784bab6841be1a3a33aeb1a0459437aa2672fe8fdda627934bc585a8e440c', '0xc2c667f888c0e5a0b75546e7279afa9f8c1eceac89289ae7b22c771f179c74d3', '0x87e7bbd18762bdd154ece86ca1964d326d530cef6033cf3eb384dbb1fd9d6305']"
0x0000000000000000000000000000000000000000,Peapods Finance,49577.0,58152.0,2187,3199,356,603,74,48,['f01e091a-ca3a-4ae0-8eb1-6302188e9278'],['0x8f2f7d65377aa8a816a64f22119dd1f509ef13808b73b7a78052eb21ba679730']
0x0000000000000000000000000000000000000000,Radiant Capital,87409.0,87444.0,1326,1330,131,131,80,40,"['27c8dcfb-1db0-4193-96eb-51d07795bae6', '399b2fa6-3c51-46b3-a6b5-5e76900103ad', '9355b4e4-095e-4854-81da-209c48a065db', 'b5467101-d58e-42ab-8b4d-0155296c9e8a']","['0xc27fc70166964115ebaff8c8727e5946a34c395829cd46c481c6c57cf3ddba6a', '0x3f510801ba16ee7c0c46c42830303698312ade34c968b76fb75bacc1e684c698', '0x017c7ee83075bb3eabb8964bf4d0debb8ef0cdf7ee49531f56ec0941212da1db', '0xbac3c97e6fb83e860ccd589a398f80d9a3814463f052c1f7ef9565a0627f78e0']"
0x0000000000000000000000000000000000000000,Remote Control,6369.0,6369.0,830,830,496,496,21,10,['c2530b32-dc3f-44d6-9722-6270e6866fc7'],['0x53175df90ea01349a03cf905a5d35e8a8ed1a122d3032e5579896f32c9a8700b']
0x0000000000000000000000000000000000000000,Rodeo,156562.0,156562.0,6042,6042,4323,4323,266,133,['5150f019-7b34-4f19-bc85-278301eeb35f'],['0xd1af91c3d03c91fa62cb222123d24c7b3f250d24e7224e004532e9b957ef3f7d']
0x0000000000000000000000000000000000000000,SwapMode,52050.0,210604.0,23,24,1,1,17,15,"['6abf69a8-b174-4fec-8b16-7f923f41623c', '79586cb4-cb58-4424-8c07-3812951588a3']","['0x773c8b23387b96e5d73954792b0bc192313608951b60fa0424fbdb6e7ee43074', '0x907d871a8a8dc9af0acef038b40189479e8d40ae82c42c7ed84dc0340b8af8be']"
0x0000000000000000000000000000000000000000,The MVHQ App,218.0,107770.0,187,106428,46,24979,2,594,['286e9c11-c4b2-4693-a6c3-5b606364ebad'],['0x8b92005c16499a4081884bd7f8e29626dc39ec4c49866e853925b9d3052933e0']
0x0000000000000000000000000000000000000000,Time.fun,13965.0,13965.0,1811,1811,6,6,32,16,['c998e244-23fe-4172-b850-dd2c1e264529'],['0x671db75def52fd3641f240f52d5805a50a1c069bcee2525b254ab1b83a1f8900']
0x0000000000000000000000000000000000000000,Unitus,320.0,685.0,26,56,2,4,2,2,['0441d637-54e1-4e6b-bce3-4c7b6dc50c47'],['0x35a372e44e86a21b9c4b3b8ff37d29122cba8b4612f010be6a0558b69c983687']
